,CC,GD,JM,JS,NL,RK,SC,YY
0,1.0,1.0,0.75,0.25,1.0,0.5,0.75,1.0
1,1.0,1.0,0.75,0.5,0.25,0.5,0.75,1.0
2,0.5,0.5,0.75,0.5,0.75,1.0,0.75,1.0
3,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.5
4,0.75,1.0,0.5,0.75,0.75,0.75,0.5,0.75
5,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0
6,0.5,1.0,1.0,0.25,0.5,0.75,0.75,0.75
7,1.0,1.0,0.75,0.25,0.5,0.75,0.5,1.0
8,0.5,0.25,0.75,0.5,0.75,0.75,1.0,1.0
9,0.5,1.0,0.75,0.25,0.75,0.5,1.0,0.75
10,0.75,1.0,1.0,1.0,0.5,0.75,0.75,1.0
11,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0
12,0.25,1.0,0.75,0.25,0.25,0.75,0.5,0.75
13,0.25,0.75,0.5,0.75,0.75,0.75,1.0,1.0
14,0.75,1.0,0.75,1.0,0.5,0.75,1.0,1.0
15,1.0,0.5,1.0,1.0,0.25,0.75,0.75,0.5
16,1.0,0.25,0.5,0.5,0.5,0.5,0.75,1.0
17,0.75,1.0,0.75,0.75,0.75,1.0,0.5,1.0
18,0.5,1.0,0.75,0.5,0.25,1.0,0.75,1.0
19,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0
20,1.0,1.0,0.25,0.5,1.0,0.5,0.5,1.0
21,0.0,0.75,1.0,0.75,1.0,0.5,0.75,1.0
22,0.5,0.5,0.75,0.75,0.75,1.0,0.75,0.75
23,0.75,0.75,1.0,0.75,1.0,0.5,0.75,1.0
24,1.0,1.0,1.0,0.5,1.0,0.75,0.5,1.0
25,0.75,1.0,0.5,0.5,0.75,0.25,0.25,1.0
26,0.25,1.0,0.25,0.5,0.5,1.0,0.75,0.75
27,0.75,0.75,0.75,0.25,0.5,0.25,1.0,1.0
28,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75
29,1.0,0.75,1.0,0.5,1.0,1.0,0.5,1.0
30,1.0,0.75,1.0,1.0,0.75,1.0,0.5,0.75
31,1.0,1.0,0.75,0.5,0.25,1.0,0.25,1.0
32,0.75,0.75,0.25,0.5,1.0,0.5,0.5,1.0
33,1.0,0.75,0.5,0.5,1.0,0.5,0.75,1.0
34,0.75,1.0,1.0,0.75,0.75,0.75,1.0,1.0
35,0.75,0.75,0.5,0.75,0.75,1.0,0.25,1.0
36,1.0,1.0,0.5,0.5,0.75,0.75,1.0,1.0
37,0.5,1.0,0.25,0.75,0.25,0.5,1.0,1.0
38,1.0,0.75,0.75,0.75,0.75,0.5,0.5,0.75
39,1.0,1.0,0.75,1.0,0.5,0.75,0.5,1.0
40,1.0,0.75,0.5,0.5,0.75,0.5,0.75,1.0
41,1.0,0.75,0.75,0.75,0.5,1.0,0.25,1.0
42,1.0,1.0,0.5,0.75,0.5,0.75,1.0,0.75
43,0.75,0.75,1.0,0.5,1.0,1.0,1.0,0.75
44,0.75,0.5,0.25,1.0,0.75,0.75,0.75,0.75
45,0.5,0.5,1.0,0.25,0.75,0.75,0.5,1.0
46,1.0,1.0,0.75,0.75,0.5,0.5,1.0,1.0
47,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0
48,1.0,1.0,0.5,0.0,0.75,0.5,0.75,1.0
49,0.75,1.0,0.25,0.25,0.75,0.75,0.75,1.0
50,1.0,0.5,0.75,0.5,1.0,0.0,0.75,1.0
51,1.0,1.0,0.5,0.75,0.75,0.75,0.75,1.0
52,0.75,1.0,0.5,0.75,0.5,0.75,1.0,1.0
53,1.0,0.5,0.75,0.5,0.25,1.0,0.75,1.0
54,0.75,1.0,0.75,0.5,0.25,1.0,1.0,0.5
55,1.0,1.0,0.25,0.25,0.75,1.0,1.0,1.0
56,0.75,0.75,1.0,1.0,0.75,0.75,0.5,1.0
57,0.75,1.0,0.5,1.0,0.75,0.5,0.75,1.0
58,1.0,0.5,0.75,0.75,0.75,0.5,0.75,1.0
59,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0
60,0.25,1.0,1.0,0.5,1.0,0.75,1.0,0.5
61,0.5,0.75,0.75,0.75,0.5,0.75,0.75,1.0
62,0.5,1.0,0.5,0.75,0.75,0.75,0.75,0.75
63,1.0,1.0,0.5,0.5,0.75,1.0,1.0,1.0
64,0.75,1.0,1.0,0.5,1.0,0.5,1.0,1.0
65,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0
66,0.5,0.75,0.5,0.25,0.5,0.5,0.75,1.0
67,0.5,1.0,0.75,0.25,0.75,0.75,0.5,0.5
68,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0
69,0.75,1.0,1.0,1.0,0.5,0.75,0.75,1.0
70,0.75,0.75,0.75,0.25,0.25,1.0,0.75,0.75
71,0.75,1.0,0.75,0.25,0.75,1.0,0.75,0.75
72,1.0,0.5,0.75,1.0,1.0,1.0,0.25,1.0
73,0.5,0.75,0.75,0.5,0.25,1.0,1.0,1.0
74,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
75,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0
76,1.0,0.5,0.75,0.5,1.0,0.75,0.75,1.0
77,1.0,1.0,0.75,0.75,0.5,1.0,0.75,1.0
78,1.0,1.0,0.75,0.5,1.0,0.75,0.5,1.0
79,0.75,1.0,1.0,0.75,0.75,0.75,0.25,0.75
80,1.0,1.0,0.5,0.75,0.5,0.75,1.0,1.0
81,0.5,1.0,0.75,0.75,0.5,0.25,0.75,1.0
82,1.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75
83,0.5,1.0,1.0,0.5,0.25,0.75,1.0,1.0
84,0.5,1.0,1.0,0.75,1.0,1.0,0.75,1.0
85,0.75,0.75,0.75,1.0,1.0,0.75,0.75,1.0
86,1.0,0.75,1.0,0.75,0.5,1.0,0.25,1.0
87,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0
88,1.0,1.0,0.75,0.75,0.75,0.5,0.75,1.0
89,0.75,1.0,1.0,1.0,1.0,1.0,0.5,1.0
90,0.75,1.0,0.75,0.5,0.75,0.5,0.75,1.0
91,1.0,1.0,0.75,0.25,0.5,1.0,0.75,1.0
92,1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.75
93,0.75,1.0,0.75,0.5,0.75,1.0,1.0,1.0
94,0.75,0.75,1.0,0.25,0.75,0.75,0.75,1.0
95,1.0,0.75,1.0,0.5,1.0,1.0,0.5,0.75
96,0.75,0.75,0.5,1.0,0.75,1.0,0.25,1.0
97,0.5,1.0,0.5,0.75,0.75,0.75,1.0,1.0
98,0.75,0.75,1.0,0.75,1.0,0.75,0.5,1.0
99,0.5,0.5,1.0,0.75,0.75,1.0,0.5,0.75
100,1.0,1.0,0.75,0.75,0.5,0.25,1.0,1.0
101,0.5,1.0,1.0,1.0,0.25,0.75,0.75,1.0
102,0.75,1.0,0.5,0.25,1.0,0.5,0.75,0.75
103,1.0,1.0,0.25,1.0,1.0,0.5,1.0,0.75
104,0.75,0.75,0.75,1.0,1.0,0.75,1.0,1.0
105,1.0,1.0,1.0,0.5,0.75,0.5,0.5,0.75
106,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0
107,1.0,1.0,1.0,0.25,0.75,0.75,0.5,1.0
108,1.0,0.75,0.5,0.5,0.5,0.75,0.25,1.0
109,0.75,0.5,1.0,0.75,0.75,1.0,0.75,1.0
110,0.5,0.5,0.5,0.75,1.0,0.75,0.75,1.0
111,0.75,1.0,1.0,0.25,0.25,0.5,0.75,1.0
112,0.75,0.5,1.0,0.75,0.75,0.5,1.0,1.0
113,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0
114,0.0,0.75,0.75,0.75,0.75,1.0,0.75,0.75
115,1.0,1.0,1.0,0.75,1.0,0.75,0.75,1.0
116,0.75,0.75,0.75,0.75,0.75,1.0,0.75,1.0
117,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0
118,1.0,1.0,0.75,0.75,0.25,0.75,0.75,0.75
119,1.0,0.75,1.0,0.5,0.5,0.75,0.75,1.0
120,1.0,0.5,0.75,1.0,0.0,0.5,0.75,1.0
121,1.0,1.0,1.0,0.5,1.0,1.0,0.75,0.75
122,0.5,0.5,1.0,0.75,1.0,0.5,0.75,1.0
123,1.0,0.25,0.75,0.5,1.0,0.75,0.5,1.0
124,0.75,1.0,0.75,0.75,1.0,0.75,0.5,1.0
125,1.0,1.0,0.75,0.5,0.75,0.75,0.5,1.0
126,1.0,0.75,0.75,0.25,1.0,0.75,0.5,1.0
127,0.5,0.75,0.75,0.25,0.5,1.0,0.5,1.0
128,0.5,0.5,0.75,0.5,1.0,0.25,0.25,1.0
129,0.75,0.75,0.25,0.75,0.5,0.75,1.0,1.0
130,0.75,1.0,0.75,0.5,1.0,0.5,0.75,1.0
131,0.5,1.0,0.25,0.25,0.25,1.0,0.5,1.0
132,0.75,1.0,0.5,0.5,0.75,1.0,0.75,0.75
133,0.5,1.0,0.75,0.5,0.75,1.0,0.75,0.75
134,0.75,0.75,1.0,0.75,1.0,1.0,1.0,1.0
135,0.5,1.0,0.75,0.75,0.75,0.75,0.5,1.0
136,0.75,1.0,0.5,0.25,1.0,1.0,0.75,1.0
137,0.75,1.0,0.75,1.0,0.75,0.75,0.5,1.0
138,0.75,0.75,1.0,0.75,0.5,0.25,0.5,1.0
139,1.0,0.5,0.25,0.0,1.0,0.75,1.0,1.0
140,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0
141,0.5,0.75,0.75,0.25,0.75,1.0,0.75,1.0
142,1.0,0.75,0.75,0.75,0.5,0.75,1.0,1.0
143,1.0,1.0,0.75,0.75,0.75,0.25,0.75,1.0
144,1.0,1.0,0.5,0.75,0.75,1.0,0.75,1.0
145,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0
146,1.0,1.0,0.5,1.0,0.5,0.75,0.75,0.75
147,1.0,0.75,1.0,0.5,1.0,0.75,1.0,1.0
148,1.0,1.0,0.75,0.5,0.75,0.75,1.0,1.0
149,1.0,1.0,0.5,0.5,0.75,0.75,0.5,1.0
150,0.75,0.75,0.75,0.5,1.0,0.75,0.75,1.0
151,0.75,0.5,0.75,1.0,0.75,1.0,1.0,1.0
152,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.75
153,0.5,1.0,0.75,0.75,1.0,0.75,1.0,1.0
154,1.0,1.0,0.5,0.75,0.5,1.0,0.75,0.75
155,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.75
156,0.75,1.0,1.0,0.25,0.5,1.0,0.5,0.75
157,0.75,0.75,0.75,0.5,1.0,0.5,1.0,1.0
158,0.5,0.75,0.75,0.5,0.75,0.5,0.75,1.0
159,1.0,0.5,1.0,0.25,1.0,1.0,0.75,1.0
160,0.5,0.25,0.75,1.0,0.75,0.25,0.75,1.0
161,0.25,1.0,1.0,0.25,0.75,0.5,0.75,1.0
162,1.0,0.75,0.75,0.5,0.75,0.5,0.25,0.75
163,0.75,0.75,1.0,0.75,0.5,0.5,0.75,1.0
164,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0
165,1.0,0.25,0.75,0.75,0.75,0.75,0.75,1.0
166,0.25,0.5,1.0,0.5,0.75,1.0,0.75,1.0
167,0.75,0.75,0.75,0.5,0.5,0.75,1.0,1.0
168,1.0,0.5,0.75,0.5,0.75,0.75,0.75,0.75
169,1.0,1.0,0.5,0.5,1.0,0.5,0.75,1.0
170,1.0,1.0,0.75,0.75,0.25,0.75,0.5,0.75
171,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0
172,0.75,1.0,0.75,0.75,1.0,0.5,0.75,0.75
173,0.25,0.5,0.5,0.75,1.0,0.5,0.75,1.0
174,0.75,0.75,1.0,0.5,1.0,0.75,0.5,1.0
175,1.0,0.75,0.5,0.5,0.25,0.75,0.5,1.0
176,0.5,0.75,0.75,0.5,0.25,0.75,0.75,0.75
177,0.5,1.0,1.0,0.25,0.75,1.0,0.75,1.0
178,0.5,0.75,0.5,1.0,0.75,1.0,1.0,1.0
179,0.75,0.75,1.0,0.5,0.5,0.5,0.75,1.0
180,1.0,1.0,0.5,1.0,0.25,0.75,0.75,1.0
181,0.75,1.0,0.5,0.75,1.0,0.5,1.0,1.0
182,0.5,1.0,0.5,0.5,1.0,0.75,0.75,1.0
183,1.0,1.0,0.25,0.25,0.75,0.5,1.0,1.0
184,0.75,0.75,1.0,0.75,1.0,0.75,1.0,1.0
185,0.75,1.0,0.5,0.5,0.75,0.75,0.0,1.0
186,0.75,0.75,1.0,0.0,1.0,0.75,0.5,1.0
187,0.5,0.25,1.0,0.75,0.5,1.0,0.75,1.0
188,0.75,0.75,0.25,0.75,0.75,0.5,1.0,1.0
189,1.0,0.75,0.75,0.5,1.0,1.0,0.25,1.0
190,1.0,0.75,1.0,0.75,1.0,0.75,0.5,1.0
191,1.0,1.0,1.0,0.75,1.0,0.75,0.25,0.75
192,1.0,0.75,0.5,0.75,0.5,1.0,0.75,1.0
193,1.0,1.0,1.0,0.5,0.75,0.75,0.75,1.0
194,1.0,1.0,0.75,1.0,0.75,0.5,1.0,1.0
195,1.0,0.5,1.0,0.5,0.5,0.75,0.5,0.75
196,1.0,0.5,0.75,0.75,0.75,0.5,0.75,1.0
197,1.0,1.0,1.0,0.75,0.5,0.75,0.75,1.0
198,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0
199,0.75,0.5,0.75,0.25,1.0,1.0,0.75,1.0
Average,0.79,0.83125,0.74875,0.61625,0.7275,0.74875,0.72,0.935
